,Unnamed: 0,Unnamed: 0.1,Stim number,word,color,is congruent,Stim timestamp,key pressed,key timestamp,delta T,is correct
104,104,104,105,yellow,yellow,1,330.39866068366,y,330.9672736002616,0.5686129166015803,1
105,105,105,106,green,red,0,333.16989028631843,r,334.6055597302916,1.435669443973154,1
106,106,106,107,green,green,1,336.09491185902584,g,337.1422064526972,1.0472945936713811,1
107,107,107,108,blue,yellow,0,339.5231514353341,y,340.5756822571902,1.0525308218560667,1
108,108,108,109,blue,red,0,342.32227586330754,r,343.326950353868,1.0046744905604896,1
109,109,109,110,red,green,0,345.0148228964055,g,345.976984215428,0.9621613190224708,1
110,110,110,111,green,green,1,348.11130329583074,g,348.74577944033547,0.6344761445047311,1
111,111,111,112,green,blue,0,351.64621858916286,b,352.81480895180806,1.1685903626452046,1
112,112,112,113,red,green,0,355.0929549311607,g,355.51516237034787,0.4222074391871615,1
113,113,113,114,yellow,green,0,357.86475205630785,g,358.3519895268868,0.4872374705789184,1
114,114,114,115,green,yellow,0,360.6391626742402,y,361.6310315722216,0.9918688979813624,1
115,115,115,116,yellow,red,0,364.0249438523613,r,364.4645840411872,0.4396401888258765,1
116,116,116,117,blue,green,0,367.0196306732245,g,367.2743657330951,0.2547350598705975,1
117,117,117,118,red,red,1,369.5122602652755,r,370.3722946856892,0.86003442041374,1
118,118,118,119,blue,red,0,372.4952109889808,r,373.1024577398328,0.6072467508519139,1
119,119,119,120,yellow,red,0,375.57025692828967,r,375.64074638946727,0.0704894611776012,1
120,120,120,121,red,blue,0,378.2443751623,b,379.2527780946358,1.008402932335798,1
121,121,121,122,yellow,red,0,381.0930404877886,r,382.1380477437819,1.045007255993312,1
122,122,122,123,blue,yellow,0,384.4015250910381,b,385.1046278484261,0.7031027573879669,0
123,123,123,124,yellow,blue,0,386.7761162511365,b,388.8640496576082,2.087933406471677,1
124,124,124,125,blue,blue,1,390.3926431327274,b,391.2046876269961,0.8120444942687186,1
125,125,125,126,green,red,0,393.3742741768127,r,394.699898545422,1.325624368609283,1
126,126,126,127,red,red,1,396.9073240171544,r,396.7291758335638,0.1781481835905651,1
127,127,127,128,blue,red,0,398.7813856471805,r,400.41955384984,1.6381682026595286,1
128,128,128,129,yellow,yellow,1,402.5970809474575,y,403.89174397408135,1.294663026623823,1
129,129,129,130,blue,red,0,405.7970450505064,r,407.2200152457115,1.422970195205096,1
